timestamp,trip.tripId,trip.startTime,trip.startDate,trip.routeId,position.latitude,position.longitude,position.bearing,position.speed,vehicle.id,vehicle.licensePlate
1737334462,weekday_U6400_U640002_4,08:00:45,20250120,U6400,3.095521,101.67536,10.3,7.59,VFB2440,VFB2440
1737334494,weekday_U6000_U600002_8,08:21:23,20250120,U6000,3.064767,101.64946,45.6,0.93,WNV5199,WNV5199
1737334476,weekday_S4080_S408002_3,07:34:37,20250120,S4080,3.027417,101.566666,240.0,38.89,WVG5323,WVG5323
1737334455,weekday_U2000_U200002_0,07:08:46,20250120,U2000,3.158333,101.694336,0.0,1.85,WVB4105,WVB4105
1737334463,weekday_S0060_S006002_1,08:32:16,20250120,S0060,2.83585,101.59201,97.0,62.97,WQA3655,WQA3655
1737334479,weekday_U8210_U821002_1,08:26:39,20250120,U8210,3.144283,101.69533,0.0,0.0,WUY9518,WUY9518
1737334470,weekday_U6000_U600002_7,07:40:47,20250120,U6000,3.114393,101.67878,14.9,46.11,VGF8476,VGF8476
1737334470,weekday_U7800_U780001_0,07:08:31,20250120,U7800,3.177483,101.577995,0.0,0.0,WVE5761,WVE5761
1737334486,weekday_U5800_U580002_0,08:29:49,20250120,U5800,3.099421,101.70278,315.7,25.74,WVJ931,WVJ931
1737334481,weekday_U6500_U650002_1,08:11:11,20250120,U6500,3.101717,101.67684,33.0,16.67,WB836U,WB836U
1737334481,weekday_U2500_U250002_17,08:44:12,20250120,U2500,3.209633,101.727165,0.0,0.0,WVG8659,WVG8659
1737334484,weekday_U3000_U300002_1,07:04:08,20250120,U3000,3.130411,101.76304,0.2,8.69,VEQ7949,VEQ7949
1737334424,weekday_T4500_T450002_1,08:20:47,20250120,T4500,2.949003,101.84637,321.9,7.41,WNP9275,WNP9275
1737334445,weekday_S4060_S406002_0,08:02:15,20250120,S4060,3.0046,101.546585,281.5,6.67,WVD3246,WVD3246
1737334480,weekday_S2020_S202002_2,08:32:10,20250120,S2020,3.073083,101.590675,264.0,27.78,WB856L,WB856L
1737334464,weekday_T2010_T201002_4,08:42:54,20250120,T2010,3.24305,101.703156,89.0,33.34,WUW8425,WUW8425
1737334467,weekday_S4040_S404002_1,08:25:00,20250120,S4040,3.070533,101.4915,0.0,0.0,WVC6468,WVC6468
1737334483,weekday_U7800_U780001_0,07:50:13,20250120,U7800,3.149533,101.590675,0.0,0.0,WVG3401,WVG3401
1737334480,weekday_U1800_U180001_4,08:53:40,20250120,U1800,3.145467,101.69834,82.0,24.08,WVC4291,WVC4291
1737334470,weekday_U2200_U220001_1,08:19:30,20250120,U2200,3.153117,101.69866,0.0,0.0,WVC6421,WVC6421
1737334477,weekday_U5900_U590001_2,08:52:22,20250120,U5900,3.142798,101.707695,145.89,52.97,WVL659,WVL659
1737334448,weekday_P1020_P102002_0,08:32:38,20250120,P1020,2.944267,101.70518,183.0,24.08,WC5697K,WC5697K
1737334479,weekday_U6000_U600002_7,07:46:22,20250120,U6000,3.098058,101.67588,9.8,12.41,VGH4670,VGH4670
1737334452,weekday_U2510_U251002_1,08:36:20,20250120,U2510,3.190879,101.73519,282.0,13.15,WVE4812,WVE4812
1737334446,weekday_U6000_U600002_8,08:11:21,20250120,U6000,3.084525,101.67189,80.5,5.19,WVL634,WVL634
